AtBat,HmRun,RBI,Walks,Years,CHmRun,PutOuts,Assists,Errors,League_N,Division_W,NewLeague_N,Hits_per_AtBat,Salary
550,29,91,71,6,117,1218,104,10,False,True,False,0.26678765880217786,1310.0
190,2,8,15,5,5,102,177,16,False,True,False,0.24083769633507854,175.0
629,18,102,40,18,164,1067,157,14,False,False,False,0.26666666666666666,776.667
181,6,23,22,1,6,88,0,3,True,True,True,0.31868131868131866,86.5
441,16,73,80,14,209,97,218,16,False,True,False,0.2895927601809955,1500.0
507,29,85,91,18,347,808,108,2,False,False,False,0.24015748031496062,535.0
524,9,47,54,2,14,212,327,20,False,False,False,0.25142857142857145,524.3255047169811
343,6,36,40,15,70,211,56,13,False,False,False,0.29941860465116277,430.0
186,7,16,11,1,7,99,3,1,True,True,True,0.23529411764705882,524.3255047169811
522,9,46,62,13,153,352,9,1,False,False,False,0.31166347992351817,1000.0
574,31,101,64,3,53,1253,111,11,True,True,True,0.2643478260869565,215.0
374,5,26,62,7,26,756,64,15,True,True,True,0.25066666666666665,875.0
475,3,43,52,6,7,37,113,7,False,True,False,0.2647058823529412,385.0
327,13,29,45,18,78,659,53,7,False,False,False,0.2073170731707317,400.0
419,6,36,22,3,8,226,7,4,True,True,True,0.2571428571428571,110.0
549,7,47,42,1,7,255,450,17,True,True,True,0.27090909090909093,140.0
315,5,37,16,4,6,227,15,3,False,True,False,0.2310126582278481,110.0
497,7,38,26,11,40,304,347,10,False,False,False,0.27309236947791166,850.0
576,8,49,57,4,19,325,12,8,True,False,True,0.28942807625649913,210.0
572,18,49,65,2,36,325,13,3,False,True,False,0.26527050610820246,200.0
438,2,32,71,2,2,276,7,9,False,True,True,0.23462414578587698,100.0
627,25,81,70,6,133,240,482,13,False,False,False,0.2818471337579618,1350.0
618,20,110,62,13,351,330,16,8,False,False,False,0.32310177705977383,2412.5
185,1,8,21,2,1,76,127,7,True,False,False,0.1989247311827957,70.0
338,18,60,21,3,36,0,0,0,False,False,False,0.2713864306784661,145.0
313,9,30,39,17,224,127,221,7,False,True,False,0.267515923566879,524.3255047169811
22,1,2,1,6,2,812,84,11,False,True,False,0.43478260869565216,524.3255047169811
522,16,77,60,4,22,1320,166,17,True,False,True,0.2676864244741874,200.0
341,9,49,46,9,50,251,9,4,False,False,False,0.3216374269005848,560.0
244,9,25,35,4,49,142,14,2,True,True,True,0.23673469387755103,340.0
404,11,49,18,6,30,222,5,5,False,False,False,0.2271604938271605,300.0
528,21,74,41,6,97,885,105,8,True,False,True,0.2495274102079395,1008.333
407,8,30,30,2,14,172,317,25,True,True,True,0.22794117647058823,150.0
255,7,35,43,15,154,51,54,8,True,False,True,0.2734375,450.0
599,10,74,32,5,27,231,374,18,False,False,False,0.305,775.0
241,1,12,14,1,1,166,172,10,True,True,True,0.25206611570247933,524.3255047169811
381,9,45,32,7,40,228,7,5,True,False,True,0.2879581151832461,800.0
480,18,71,44,7,110,94,270,16,True,False,True,0.23284823284823286,750.0
328,12,43,33,2,12,145,59,8,True,False,True,0.2765957446808511,125.0
278,4,38,45,1,4,102,4,2,True,True,True,0.30824372759856633,110.0
600,33,117,65,2,38,319,4,14,False,True,False,0.23960066555740434,165.0
215,4,18,11,1,4,116,5,12,False,False,False,0.2361111111111111,70.0
191,4,17,14,4,16,391,38,8,True,False,True,0.19270833333333334,524.3255047169811
508,8,44,46,9,41,245,5,9,False,True,False,0.2868369351669941,524.3255047169811
407,6,43,65,12,100,912,88,9,False,True,False,0.2549019607843137,524.3255047169811
344,24,64,88,7,64,0,0,0,False,True,False,0.2463768115942029,300.0
341,6,42,20,10,81,158,4,5,True,True,True,0.2777777777777778,100.0
127,8,22,14,8,24,202,22,2,True,True,True,0.25,135.0
288,7,37,15,4,16,203,3,3,True,True,True,0.2629757785467128,240.0
317,7,35,32,1,7,45,122,26,False,False,False,0.24528301886792453,70.0
339,4,29,23,4,11,104,213,9,False,True,False,0.2823529411764706,275.0
510,2,44,35,11,44,207,358,20,True,True,True,0.2465753424657534,737.5
586,12,79,53,9,83,181,13,4,True,False,True,0.2708688245315162,1043.333
512,26,96,52,14,221,119,216,12,False,True,False,0.2553606237816764,850.0
565,24,104,77,14,305,292,9,5,False,False,False,0.26148409893992935,1861.46
183,3,15,11,3,3,118,0,0,False,True,False,0.21195652173913043,524.3255047169811
325,16,52,37,5,71,726,87,3,True,True,False,0.2331288343558282,385.0
574,21,75,59,10,90,238,445,22,False,False,False,0.27652173913043476,517.143
560,26,96,66,4,65,332,9,8,True,True,True,0.28698752228163993,625.0
419,1,27,44,12,32,211,2,1,False,False,False,0.26904761904761904,524.3255047169811
277,2,29,14,15,60,360,32,5,True,True,True,0.25539568345323743,524.3255047169811
437,9,55,40,9,79,82,170,15,False,False,False,0.2808219178082192,1260.0
521,20,86,45,4,22,107,242,23,False,False,False,0.2720306513409962,105.0
472,16,62,74,6,67,518,55,3,True,True,True,0.2452431289640592,600.0
268,5,25,15,2,5,442,59,6,True,True,True,0.22304832713754646,90.0
313,9,41,30,14,104,58,141,23,True,True,True,0.2643312101910828,450.0
199,5,22,21,3,8,152,3,5,False,True,False,0.265,75.0
523,8,44,52,9,39,367,475,19,True,True,True,0.25763358778625955,750.0
473,6,48,29,6,29,846,84,9,False,False,False,0.32489451476793246,580.0
315,16,36,58,13,268,0,0,0,False,True,False,0.18670886075949367,524.3255047169811
593,23,75,53,6,133,315,10,6,False,True,False,0.2558922558922559,940.0
637,31,116,56,14,247,278,9,9,True,True,True,0.2727272727272727,1041.667
512,29,88,43,6,100,1236,98,18,False,True,False,0.22807017543859648,100.0
160,8,31,22,14,56,33,3,0,False,False,False,0.2422360248447205,275.0
281,3,25,20,8,48,106,144,7,False,False,False,0.2695035460992908,341.667
275,5,42,61,6,16,181,3,2,True,False,True,0.2463768115942029,191.0
236,6,19,21,5,24,172,1,4,False,False,False,0.23628691983122363,190.0
209,0,19,42,10,23,132,205,5,False,True,False,0.21428571428571427,524.3255047169811
317,3,32,19,8,28,220,16,4,False,True,False,0.27672955974842767,524.3255047169811
399,3,34,34,5,4,211,9,3,False,True,False,0.255,80.0
496,8,33,21,7,36,155,371,29,True,True,True,0.23943661971830985,875.0
570,21,88,38,7,140,295,15,5,False,True,False,0.29597197898423816,950.0
346,5,53,30,16,235,0,0,0,False,False,False,0.2824207492795389,524.3255047169811
369,9,42,49,5,54,149,1,6,False,False,False,0.25135135135135134,350.0
199,9,28,21,6,30,235,22,5,True,True,True,0.26,265.0
401,2,19,28,4,2,193,11,4,True,False,True,0.24875621890547264,524.3255047169811
490,24,105,62,13,271,869,62,8,True,False,True,0.2545824847250509,1925.571
288,8,36,27,9,55,259,30,10,True,False,False,0.22491349480968859,650.0
283,14,47,26,16,259,144,6,5,False,True,False,0.2711267605633803,700.0
181,1,18,17,5,9,37,98,9,False,False,False,0.25274725274725274,524.3255047169811
610,19,98,74,6,69,1182,96,13,True,False,True,0.3044189852700491,1300.0
289,7,41,44,17,195,166,211,7,False,True,False,0.21724137931034482,524.3255047169811
441,28,86,68,8,126,190,2,2,False,False,False,0.2669683257918552,1300.0
208,8,25,18,3,17,42,94,13,True,False,True,0.2727272727272727,140.0
537,23,88,47,10,97,92,257,20,True,False,True,0.2732342007434944,277.5
243,4,26,27,4,23,107,3,3,True,False,True,0.21721311475409835,524.3255047169811
479,18,72,76,3,63,880,82,14,False,True,False,0.2708333333333333,480.0
596,34,108,52,6,107,118,334,21,False,True,False,0.2864321608040201,900.0
315,13,60,25,3,24,498,39,13,True,False,True,0.24050632911392406,155.0
625,4,60,65,5,12,303,450,14,False,False,False,0.28594249201277955,575.0
370,21,46,60,15,231,137,5,9,True,False,True,0.2587601078167116,733.333
642,14,59,52,5,27,337,19,4,True,True,True,0.328149300155521,740.0
439,0,36,65,4,1,229,406,22,True,False,True,0.21818181818181817,150.0
380,5,51,31,8,92,237,8,1,False,True,False,0.31496062992125984,600.0
529,26,97,97,15,291,280,10,5,False,False,False,0.25849056603773585,933.333
513,20,95,90,14,166,267,5,3,False,True,False,0.26653696498054474,900.0
227,7,20,12,5,44,92,2,2,False,True,False,0.20175438596491227,524.3255047169811
459,20,57,68,12,155,0,0,0,False,True,False,0.24565217391304348,740.0
566,22,84,43,14,131,316,439,10,False,True,False,0.2716049382716049,750.0
591,20,79,38,5,40,303,12,5,True,True,True,0.3108108108108108,630.0
283,4,29,22,10,85,145,5,7,True,True,True,0.2605633802816901,737.5
445,1,24,29,4,1,278,415,16,False,True,False,0.2219730941704036,87.5
211,10,35,39,3,14,463,32,8,False,True,False,0.2028301886792453,120.0
419,18,58,92,20,548,0,0,0,False,True,False,0.24047619047619048,487.5
193,10,29,24,6,42,299,13,5,False,True,False,0.2422680412371134,245.0
585,31,94,62,17,315,0,0,0,False,False,False,0.23720136518771331,950.0
359,4,27,21,12,37,151,8,5,True,True,True,0.23333333333333334,524.3255047169811
329,9,39,56,9,145,276,6,2,False,True,False,0.2515151515151515,600.0
462,16,65,37,7,69,866,65,6,False,False,False,0.2570194384449244,524.3255047169811
616,27,107,32,3,65,110,308,15,False,True,False,0.26418152350081037,200.0
418,13,61,47,4,41,211,11,7,True,False,True,0.26968973747016706,550.0
379,10,60,30,14,146,72,170,24,True,True,True,0.2789473684210526,850.0
550,6,37,81,5,32,262,329,16,True,True,True,0.27586206896551724,625.0
429,12,42,57,13,83,686,46,4,False,True,True,0.2116279069767442,825.0
232,9,23,45,12,194,623,35,3,True,False,True,0.23605150214592274,1300.0
299,6,23,26,3,8,212,1,2,True,False,True,0.25,140.0
220,10,39,31,5,40,50,136,20,True,False,True,0.24434389140271492,297.5
589,21,86,64,7,102,371,6,6,False,False,False,0.25254237288135595,787.5
214,2,29,23,2,2,109,7,3,True,False,True,0.24651162790697675,70.0
382,13,58,36,12,41,59,156,9,True,True,True,0.31070496083550914,595.0
309,0,31,26,5,0,117,269,12,True,False,True,0.23225806451612904,130.0
490,21,58,35,14,121,96,5,3,False,False,True,0.3054989816700611,1000.0
307,1,36,29,7,18,145,2,2,False,True,False,0.2597402597402597,524.3255047169811
216,0,18,15,18,46,103,84,5,True,True,True,0.2488479262672811,524.3255047169811
458,13,57,48,4,28,246,389,18,False,True,False,0.24836601307189543,475.0
33,0,4,7,1,0,205,5,4,False,True,False,0.17647058823529413,524.3255047169811
589,40,108,69,6,128,368,20,3,False,False,False,0.288135593220339,1237.5
324,4,18,22,7,13,222,3,3,True,False,True,0.2246153846153846,708.333
593,22,100,57,1,22,1222,139,15,False,True,False,0.2895622895622896,165.0
663,29,121,32,4,57,241,8,6,False,False,False,0.30120481927710846,250.0
526,12,50,77,4,38,250,11,1,False,True,False,0.3092979127134725,750.0
293,1,29,14,1,1,446,33,20,False,False,False,0.22448979591836735,524.3255047169811
263,1,23,30,4,9,81,147,4,True,False,True,0.26515151515151514,250.0
172,3,14,15,10,57,65,0,0,True,True,True,0.24277456647398843,900.0
127,4,25,12,19,242,167,18,6,True,True,True,0.25,500.0
495,17,84,78,10,275,1045,88,13,False,False,False,0.30443548387096775,2460.0
491,11,47,37,15,84,239,8,2,False,False,False,0.2865853658536585,525.0
530,3,50,47,6,11,196,354,15,False,True,False,0.2994350282485876,475.0
303,3,30,36,3,3,468,47,6,True,False,True,0.23355263157894737,100.0
395,16,56,35,10,86,709,41,7,False,False,False,0.2676767676767677,524.3255047169811
212,13,44,18,2,13,243,23,5,False,False,False,0.2535211267605634,524.3255047169811
415,27,71,68,3,45,274,2,7,True,True,True,0.2764423076923077,300.0
161,0,10,17,4,3,70,149,12,False,False,False,0.2222222222222222,524.3255047169811
271,5,29,33,12,48,62,90,3,False,True,False,0.28308823529411764,450.0
155,6,23,15,16,98,53,88,3,True,False,True,0.28205128205128205,275.0
225,5,26,26,11,25,132,9,0,False,True,False,0.26991150442477874,524.3255047169811
205,8,32,9,5,32,58,4,4,False,False,False,0.2766990291262136,247.5
540,30,88,55,1,30,157,6,14,False,True,False,0.24953789279112754,172.0
382,16,55,22,1,16,200,7,6,False,True,False,0.26370757180156656,97.5
202,4,26,27,9,15,304,45,11,True,True,True,0.26108374384236455,512.5
492,5,50,94,12,39,313,381,20,False,False,False,0.27586206896551724,875.0
584,20,73,63,10,93,276,421,11,False,False,False,0.26837606837606837,420.0
368,3,28,54,8,9,209,246,3,True,True,True,0.2791327913279133,326.667
474,10,56,40,10,61,732,83,13,True,True,True,0.27157894736842103,750.0
578,1,59,34,3,7,133,371,20,True,False,True,0.23834196891191708,160.0
359,15,48,63,7,61,682,93,13,True,True,True,0.2222222222222222,700.0
321,10,42,30,2,12,805,40,4,True,False,True,0.2701863354037267,91.5
539,5,58,69,5,12,462,9,7,False,True,False,0.2574074074074074,400.0
517,27,87,52,9,215,1378,102,8,True,True,True,0.2722007722007722,524.3255047169811
216,4,18,15,12,43,391,44,4,False,False,False,0.25806451612903225,250.0
165,2,9,16,3,2,332,19,2,False,True,True,0.23493975903614459,75.0
633,6,56,59,6,19,367,432,16,True,True,True,0.3312302839116719,90.0
461,18,54,35,2,24,111,226,11,False,True,False,0.24242424242424243,135.0
284,1,18,25,5,6,122,140,5,False,False,True,0.24210526315789474,524.3255047169811
236,0,15,11,4,1,125,199,13,False,True,False,0.23628691983122363,230.0
504,28,71,54,3,54,103,283,19,False,False,False,0.2376237623762376,175.0
185,4,11,18,3,7,97,2,2,True,False,True,0.21505376344086022,90.0
510,10,52,53,7,63,810,99,18,True,False,True,0.2876712328767123,1150.0
584,15,84,42,5,58,331,20,4,True,False,True,0.27008547008547007,662.5
387,1,27,36,7,6,186,290,17,True,False,True,0.31958762886597936,550.0
323,6,32,8,2,6,143,290,19,True,True,True,0.25,75.0
311,3,30,26,17,100,153,223,10,True,True,True,0.25961538461538464,320.0
562,17,73,53,8,61,351,442,17,False,False,False,0.30017761989342806,530.0
24,0,0,2,3,0,80,4,0,False,True,False,0.12,524.3255047169811
194,7,29,30,11,64,325,22,2,False,False,False,0.20512820512820512,524.3255047169811
196,7,27,30,13,36,80,45,8,True,False,True,0.2182741116751269,240.0
309,5,32,26,13,57,161,3,3,True,False,True,0.3032258064516129,600.0
181,1,21,33,2,4,326,29,5,False,False,False,0.22527472527472528,67.5
19,1,3,1,1,1,692,70,8,True,True,False,0.2,920.0
340,11,33,47,5,42,185,8,4,True,False,False,0.24633431085043989,400.0
205,2,17,20,7,12,131,6,1,True,False,True,0.2087378640776699,286.667
557,21,81,23,18,271,1160,53,7,True,True,True,0.25448028673835127,1450.0
258,8,33,18,3,17,358,32,8,False,True,False,0.23166023166023167,137.0
453,8,33,52,2,8,289,407,6,False,True,False,0.22687224669603523,105.0
237,0,25,30,24,160,523,43,6,True,True,True,0.2184873949579832,750.0
490,14,78,49,13,113,0,0,0,False,False,True,0.3014256619144603,700.0
209,3,14,12,1,3,102,6,3,False,True,False,0.2571428571428571,68.0
520,17,44,21,4,22,70,144,11,False,True,False,0.23032629558541268,185.0
376,21,60,35,5,115,0,0,0,False,True,False,0.21750663129973474,425.0
580,8,71,105,5,32,121,267,19,False,False,False,0.35628227194492257,1600.0
216,2,25,33,1,2,317,36,1,True,True,True,0.2488479262672811,75.0
579,7,78,58,6,32,280,479,5,True,False,True,0.3,657.0
217,7,19,9,4,32,307,25,1,False,False,False,0.21100917431192662,180.0
20,0,0,0,2,2,78,220,6,True,False,True,0.047619047619047616,2127.333
431,8,45,58,2,9,283,8,3,True,False,True,0.29398148148148145,202.5
312,2,22,24,1,2,86,150,15,False,False,False,0.21725239616613418,70.0
210,8,19,15,6,36,40,115,15,False,False,False,0.17535545023696683,524.3255047169811
591,19,72,39,9,113,67,147,4,False,True,False,0.28378378378378377,1200.0
315,7,38,39,14,69,632,43,10,True,True,True,0.2563291139240506,475.0
526,13,70,84,6,77,303,9,9,True,True,True,0.27703984819734345,815.0
561,35,94,33,16,442,463,32,8,False,True,False,0.2099644128113879,524.3255047169811
209,12,36,19,2,12,201,6,3,True,False,True,0.26666666666666666,90.0
204,6,25,12,7,27,419,46,5,False,True,False,0.23902439024390243,300.0
627,14,76,46,6,74,309,492,5,True,False,True,0.28343949044585987,740.0
475,27,93,72,4,108,226,10,6,True,False,True,0.25840336134453784,1220.0
19,0,2,1,4,1,0,0,0,False,False,False,0.35,524.3255047169811
394,1,28,36,4,3,203,369,16,True,False,True,0.21772151898734177,250.0
357,7,45,39,5,43,167,2,4,False,True,False,0.2681564245810056,300.0
239,0,11,22,6,4,121,151,6,False,False,False,0.25,700.0
155,12,29,22,16,181,165,9,1,False,True,False,0.26282051282051283,260.0
220,5,28,13,3,5,281,21,3,False,True,False,0.2986425339366516,90.0
591,16,78,26,4,52,290,440,25,True,False,True,0.2652027027027027,640.0
221,2,23,22,8,15,325,58,6,True,False,True,0.23873873873873874,524.3255047169811
143,5,30,15,9,16,138,15,1,True,True,True,0.2708333333333333,175.0
600,0,29,60,2,1,300,12,9,True,False,True,0.23128119800332778,160.0
256,13,36,44,16,312,41,118,8,True,False,False,0.2723735408560311,1050.0
403,12,53,39,12,166,316,6,5,False,False,False,0.25,675.0
457,14,63,22,17,281,389,39,4,False,True,False,0.2205240174672489,875.0
184,5,28,18,11,74,49,2,0,True,True,True,0.25405405405405407,450.0
484,20,65,67,7,116,1231,80,7,True,False,True,0.2618556701030928,1183.333
573,9,60,78,8,97,1314,131,12,False,False,False,0.2508710801393728,960.0
680,31,96,34,3,35,429,8,6,False,True,False,0.3274596182085169,365.0
249,6,19,20,4,10,103,8,2,True,False,True,0.276,524.3255047169811
313,6,41,12,12,35,106,206,7,True,True,True,0.2484076433121019,416.667
542,12,75,41,16,235,697,61,9,False,False,False,0.2578268876611418,524.3255047169811
551,23,90,87,5,75,1224,115,11,False,True,False,0.2898550724637681,524.3255047169811
486,11,76,40,11,67,88,204,16,True,False,False,0.29774127310061604,500.0
426,3,43,62,1,3,361,22,2,False,True,True,0.25526932084309134,115.0
219,8,26,17,12,23,260,58,4,False,True,False,0.21363636363636362,524.3255047169811
581,17,68,21,2,21,320,465,32,True,False,True,0.24914089347079038,155.0
283,8,37,27,12,94,156,2,2,False,False,False,0.24647887323943662,225.0
559,2,61,73,8,16,352,414,9,True,False,True,0.2517857142857143,925.0
348,11,45,43,10,43,60,176,6,False,False,False,0.25787965616045844,450.0
210,13,51,28,15,97,0,0,0,False,False,False,0.33175355450236965,365.0
306,14,58,25,7,55,116,222,15,True,False,True,0.33876221498371334,750.0
151,4,21,19,2,9,28,56,2,False,True,False,0.26973684210526316,95.0
424,15,47,36,7,38,292,6,3,True,True,True,0.25882352941176473,490.0
280,16,45,47,2,25,148,4,2,False,False,False,0.2918149466192171,110.0
330,19,53,27,6,90,149,8,6,True,True,True,0.2326283987915408,670.0
354,16,55,41,20,384,83,174,16,True,True,True,0.21690140845070421,200.0
631,9,44,31,11,30,408,4,3,False,True,False,0.2689873417721519,1000.0
413,16,48,65,1,16,280,9,5,True,False,True,0.2222222222222222,100.0
279,0,26,30,1,0,107,205,16,True,True,True,0.22857142857142856,75.0
138,8,21,38,3,12,244,21,4,True,False,True,0.22302158273381295,524.3255047169811
420,23,58,37,3,31,206,10,7,True,True,True,0.22565320665083136,524.3255047169811
303,4,32,23,2,4,179,5,3,True,True,True,0.27631578947368424,524.3255047169811
233,2,23,18,8,7,102,132,10,False,False,False,0.2094017094017094,375.0
